employee_id,full_name,department,title,hire_date,salary_usd,manager_id
5000,Quinn Martin,Operations,Specialist,2019-08-14,135456,5005.0
5001,Jordan Adams,Sales,Specialist,2015-12-18,120783,5022.0
5002,Riley Walker,HR,Analyst,2018-12-07,151382,5051.0
5003,Drew Walker,Support,Manager,2023-10-28,127178,5082.0
5004,Morgan Martin,HR,Senior Engineer,2021-08-28,72365,5024.0
5005,Jordan Adams,Sales,Director,2023-07-05,167255,5060.0
5006,Casey Hall,HR,Specialist,2021-07-01,204021,5045.0
5007,Riley Young,Support,Engineer,2016-04-09,171829,5025.0
5008,Cameron Green,Finance,Specialist,2021-11-18,219575,5048.0
5009,Taylor Green,Engineering,Senior Engineer,2023-09-02,181267,5012.0
5010,Sam Martin,Operations,Specialist,2018-03-03,131387,5062.0
5011,Quinn Green,Finance,Engineer,2021-01-18,134942,5006.0
5012,Sam Martin,Sales,Manager,2016-07-09,201000,5071.0
5013,Jordan Walker,Finance,Specialist,2015-10-27,202904,5013.0
5014,Cameron Lee,HR,Director,2025-08-02,193606,5099.0
5015,Alex Young,Support,Manager,2015-12-22,187907,5081.0
5016,Riley Green,Finance,Engineer,2018-06-17,125251,5030.0
5017,Morgan Nguyen,Finance,Analyst,2016-07-17,219453,5039.0
5018,Sam Walker,Support,Specialist,2025-12-23,109780,5022.0
5019,Drew Adams,HR,Manager,2017-03-03,121412,5075.0
5020,Casey Nguyen,Engineering,Specialist,2017-10-19,195397,5034.0
5021,Sam Scott,Finance,Director,2022-03-18,215518,5074.0
5022,Jordan Green,Operations,Specialist,2025-08-14,153975,
5023,Riley Martin,Sales,Manager,2022-08-29,184788,5009.0
5024,Riley Green,HR,Senior Engineer,2018-04-05,115662,5033.0
5025,Quinn Hall,HR,Manager,2020-12-27,153664,5006.0
5026,Alex Hall,Finance,Engineer,2023-10-16,135249,5058.0
5027,Quinn Allen,Operations,Manager,2020-03-19,111525,5000.0
5028,Taylor Young,Support,Director,2021-04-01,196656,5085.0
5029,Morgan Hall,Finance,Manager,2020-07-29,189973,5074.0
5030,Cameron Lee,Finance,Manager,2017-10-23,168094,5017.0
5031,Jordan Martin,Support,Director,2015-09-13,111203,5045.0
5032,Jordan Green,Sales,Manager,2021-08-15,142597,5042.0
5033,Cameron Young,Support,Director,2021-05-14,57090,5071.0
5034,Cameron Young,Finance,Engineer,2022-01-07,212924,5037.0
5035,Cameron Scott,Engineering,Director,2023-01-30,77454,
5036,Alex Nguyen,Support,Engineer,2019-12-11,110084,5023.0
5037,Cameron Allen,Sales,Engineer,2018-05-20,152103,5043.0
5038,Cameron Green,Support,Director,2024-01-01,219895,5097.0
5039,Sam Allen,Support,Manager,2015-09-27,218079,5087.0
5040,Drew Young,HR,Specialist,2021-11-28,159560,5013.0
5041,Riley Hall,HR,Senior Engineer,2019-04-01,200213,5070.0
5042,Cameron Walker,Finance,Specialist,2017-07-16,67746,5093.0
5043,Sam Allen,Finance,Director,2015-03-05,58347,
5044,Taylor Lee,Support,Manager,2025-06-19,195433,5070.0
5045,Riley Walker,Engineering,Engineer,2016-04-04,166972,5043.0
5046,Morgan Martin,Operations,Analyst,2017-11-05,59101,5066.0
5047,Riley Walker,Finance,Senior Engineer,2022-02-24,160811,5058.0
5048,Alex Lee,Support,Specialist,2017-11-08,103095,5098.0
5049,Cameron Nguyen,Support,Manager,2018-09-10,156483,5025.0
5050,Riley Green,Operations,Senior Engineer,2017-06-26,218740,5077.0
5051,Taylor Allen,Support,Analyst,2015-04-03,175902,5019.0
5052,Alex Hall,Operations,Analyst,2017-02-11,72747,5040.0
5053,Cameron Nguyen,Operations,Analyst,2017-03-20,201081,5097.0
5054,Quinn Lee,Support,Specialist,2020-08-03,144187,5075.0
5055,Riley Nguyen,Support,Director,2023-06-16,187128,5027.0
5056,Cameron Allen,HR,Senior Engineer,2019-07-05,218982,5059.0
5057,Quinn Nguyen,Operations,Director,2017-04-19,207287,
5058,Alex Martin,Sales,Analyst,2025-10-18,85375,5022.0
5059,Casey Scott,Operations,Manager,2016-05-02,196148,5070.0
5060,Drew Allen,Sales,Analyst,2023-09-01,171612,5054.0
5061,Casey Green,Support,Director,2023-06-09,165541,5044.0
5062,Quinn Walker,Finance,Analyst,2019-10-14,95664,5067.0
5063,Jordan Allen,Engineering,Analyst,2017-01-18,93779,5036.0
5064,Drew Lee,Support,Director,2025-07-04,114312,
5065,Drew Nguyen,Engineering,Director,2016-06-11,66414,5041.0
5066,Taylor Allen,HR,Manager,2024-09-30,201948,5089.0
5067,Taylor Nguyen,Sales,Director,2018-03-13,178938,5084.0
5068,Cameron Hall,HR,Manager,2016-07-07,64198,5037.0
5069,Riley Adams,Finance,Engineer,2016-05-29,148302,
5070,Casey Green,Finance,Engineer,2025-12-04,154524,5061.0
5071,Morgan Young,Operations,Director,2024-09-11,158170,5072.0
5072,Jordan Adams,Support,Analyst,2016-01-12,178393,5025.0
5073,Morgan Allen,Operations,Senior Engineer,2025-03-28,171305,5044.0
5074,Cameron Lee,Finance,Analyst,2024-10-05,175759,5099.0
5075,Quinn Scott,Finance,Director,2019-09-05,125148,5055.0
5076,Drew Green,Operations,Manager,2016-04-28,163169,5031.0
5077,Jordan Young,HR,Analyst,2016-03-27,86528,5060.0
5078,Cameron Hall,Engineering,Engineer,2019-04-09,196355,5013.0
5079,Jordan Scott,Sales,Specialist,2022-10-05,191025,5015.0
5080,Sam Walker,Finance,Director,2018-01-03,180728,5092.0
5081,Casey Nguyen,Operations,Analyst,2023-07-09,141234,5019.0
5082,Taylor Adams,Finance,Specialist,2015-10-29,114121,5027.0
5083,Casey Scott,HR,Analyst,2019-04-25,77016,5051.0
5084,Morgan Nguyen,Sales,Manager,2023-07-31,199320,5089.0
5085,Jordan Young,HR,Manager,2019-11-09,175184,5076.0
5086,Alex Hall,Engineering,Manager,2019-03-07,203348,
5087,Taylor Young,HR,Specialist,2017-09-25,151544,5067.0
5088,Morgan Hall,Sales,Senior Engineer,2024-01-30,203427,5047.0
5089,Sam Hall,Sales,Specialist,2020-08-27,113451,5044.0
5090,Sam Martin,Finance,Director,2025-03-12,76529,5067.0
5091,Alex Martin,Engineering,Director,2016-02-02,175542,5015.0
5092,Drew Green,Support,Engineer,2017-10-03,75096,5098.0
5093,Jordan Martin,Finance,Engineer,2022-03-26,150653,5062.0
5094,Sam Martin,Operations,Director,2021-02-14,58417,5033.0
5095,Taylor Nguyen,HR,Analyst,2025-02-08,126981,5057.0
5096,Morgan Allen,HR,Director,2025-06-14,125953,5017.0
5097,Alex Adams,Sales,Senior Engineer,2019-12-09,70494,5061.0
5098,Drew Adams,Operations,Engineer,2020-11-21,166670,
5099,Drew Walker,Sales,Engineer,2020-04-30,173839,5030.0
5100,Cameron Lee,Operations,Specialist,2025-03-06,199374,5073.0
5101,Morgan Hall,Sales,Engineer,2024-05-08,110669,5079.0
5102,Taylor Young,Support,Director,2018-10-26,113263,5021.0
5103,Sam Nguyen,Support,Engineer,2015-02-02,95274,5051.0
5104,Cameron Hall,Finance,Engineer,2022-08-28,174240,5050.0
5105,Riley Lee,Support,Specialist,2021-08-18,214875,5039.0
5106,Taylor Martin,Operations,Director,2025-09-24,215236,5018.0
5107,Jordan Walker,Sales,Analyst,2023-11-24,93441,5068.0
5108,Morgan Martin,Operations,Engineer,2023-06-11,118327,5021.0
5109,Alex Hall,Finance,Engineer,2025-10-09,155461,5090.0
5110,Sam Walker,Finance,Engineer,2022-08-20,154099,5050.0
5111,Riley Lee,Engineering,Senior Engineer,2020-01-19,131925,5086.0
5112,Jordan Young,Support,Director,2019-12-10,106035,5025.0
5113,Alex Young,HR,Engineer,2017-06-08,164863,5079.0
5114,Sam Green,HR,Senior Engineer,2021-11-08,68490,5006.0
5115,Quinn Scott,Engineering,Analyst,2020-03-08,61044,5075.0
